127.0.0.1 - - [20/Mar/2017:08:54:11 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:13 +0100] "GET /Planetbook/ HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:13 +0100] "GET /Planetbook/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:18 +0100] "GET /Planetbook/ HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:18 +0100] "GET /Planetbook/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:18 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:46 +0100] "POST /Planetbook/planet HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:54:52 +0100] "POST /Planetbook/planet HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:55:27 +0100] "GET /Planetbook/ HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:55:30 +0100] "POST /Planetbook/planet HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:55:33 +0100] "GET /Planetbook/ HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [20/Mar/2017:08:55:37 +0100] "POST /Planetbook/planet HTTP/1.1" 404 1028
